iteration,accuracy,mean_C,mean_gamma
1,0.516666666666667,4.4002,0.0226
1,0.55,10,0.001
1,0.566666666666667,8.0002,0.0028
1,0.5,8.2,0.0028
1,0.516666666666667,4.2004,0.2026
1,0.533333333333333,10,0.001
1,0.5,6.4,0.001
1,0.433333333333333,8.2,0.0028
1,0.5,8.2,0.0028
1,0.566666666666667,6.0004,0.2008
1,0.683333333333333,8.2,0.0028
1,0.5,10,0.001
1,0.516666666666667,8.0002,0.001
1,0.516666666666667,10,0.001
1,0.483333333333333,4.2004,0.0244
1,0.566666666666667,6.0004,0.0028
1,0.466666666666667,8.0002,0.0028
1,0.466666666666667,8.0002,0.2026
1,0.466666666666667,8.2,0.001
1,0.483333333333333,10,0.001
1,0.55,6.2002,0.0046
1,0.483333333333333,10,0.001
1,0.416666666666667,8.0002,0.2026
1,0.516666666666667,10,0.001
1,0.533333333333333,8.0002,0.0028
1,0.55,10,0.001
1,0.5,8.2,0.001
1,0.55,0.8002,0.2026
1,0.533333333333333,6.2002,0.0208
1,0.4,4.0006,0.2026
1,0.5,10,0.001
1,0.516666666666667,8.2,0.001
1,0.466666666666667,8.0002,0.2008
1,0.5,6.2002,0.0208
1,0.516666666666667,6.4,0.0208
1,0.45,6.2002,0.0028
1,0.4,6.4,0.0028
1,0.466666666666667,10,0.001
1,0.366666666666667,10,0.001
1,0.55,8.2,0.0028
1,0.483333333333333,6.22,0.2008
1,0.483333333333333,8.2,0.0046
1,0.6,8.0002,0.0028
1,0.533333333333333,4.4002,0.001
1,0.416666666666667,8.0002,0.2008
1,0.483333333333333,10,0.001
1,0.383333333333333,8.0002,0.2008
1,0.533333333333333,8.0002,0.0046
1,0.5,10,0.001
1,0.433333333333333,8.0002,0.0028
1,0.6,8.0002,0.2008
1,0.383333333333333,8.0002,0.2026
1,0.55,10,0.001
1,0.516666666666667,10,0.001
1,0.5,6.2002,0.2026
1,0.533333333333333,10,0.001
1,0.483333333333333,10,0.001
1,0.466666666666667,8.2,0.001
1,0.483333333333333,10,0.001
1,0.416666666666667,4.0006,0.0226
1,0.55,4.4002,0.001
1,0.516666666666667,10,0.001
1,0.4,8.2,0.001
1,0.633333333333333,8.0002,0.001
1,0.483333333333333,8.0002,0.0208
1,0.416666666666667,8.2,0.001
1,0.583333333333333,10,0.001
1,0.516666666666667,6.0004,0.2206
1,0.533333333333333,10,0.0028
1,0.5,2.2006,0.4024
1,0.433333333333333,8.0002,0.0028
1,0.6,6.2002,0.2026
1,0.5,6.0004,0.0406
1,0.516666666666667,8.0002,0.2008
1,0.5,6.2002,0.2026
1,0.5,8.0002,0.2026
1,0.416666666666667,8.0002,0.0208
1,0.483333333333333,10,0.001
1,0.533333333333333,10,0.001
1,0.483333333333333,10,0.001
1,0.466666666666667,4.0006,0.2224
1,0.566666666666667,8.0002,0.0208
1,0.35,8.2,0.001
1,0.583333333333333,8.0002,0.0028
1,0.5,8.2,0.001
1,0.516666666666667,4.0006,0.0262
1,0.533333333333333,10,0.0046
1,0.433333333333333,8.0002,0.0028
1,0.45,6.2002,0.2008
1,0.533333333333333,4.2004,0.0226
1,0.5,6.2002,0.2008
1,0.466666666666667,10,0.001
1,0.533333333333333,8.0002,0.2008
1,0.55,6.4,0.001
1,0.566666666666667,8.2,0.001
1,0.4,6.2002,0.0208
1,0.5,8.2,0.001
1,0.466666666666667,6.0004,0.0406
1,0.516666666666667,10,0.001
1,0.5,10,0.001
1,0.566666666666667,8.0002,0.001
1,0.5,8.2,0.0028
1,0.566666666666667,10,0.0028
1,0.466666666666667,6.0022,0.4024
1,0.5,6.2002,0.0046
1,0.566666666666667,10,0.001
1,0.516666666666667,6.0004,0.0208
1,0.466666666666667,8.0002,0.0208
1,0.483333333333333,6.2002,0.2008
1,0.533333333333333,8.2,0.0028
1,0.533333333333333,8.0002,0.0028
1,0.483333333333333,4.4002,0.0226
1,0.433333333333333,8.0002,0.0208
1,0.566666666666667,10,0.001
1,0.516666666666667,8.0002,0.2008
1,0.533333333333333,4.2004,0.0208
1,0.533333333333333,4.0006,0.2008
1,0.466666666666667,8.2,0.0046
1,0.6,10,0.001
1,0.483333333333333,10,0.0028
1,0.4,10,0.0046
1,0.383333333333333,8.2,0.0028
1,0.566666666666667,10,0.001
1,0.533333333333333,4.0006,0.2206
1,0.483333333333333,8.2,0.0028
1,0.483333333333333,4.0006,0.2026
1,0.4,8.2,0.0028
1,0.616666666666667,6.0004,0.2008
1,0.5,8.0002,0.0226
1,0.533333333333333,8.2,0.0028
1,0.416666666666667,6.0004,0.4006
1,0.45,8.2,0.001
1,0.483333333333333,6.4,0.0046
1,0.533333333333333,10,0.0028
1,0.533333333333333,8.0002,0.0226
1,0.483333333333333,8.2,0.0046
1,0.433333333333333,6.0004,0.2008
1,0.616666666666667,8.2,0.0028
1,0.45,10,0.001
1,0.533333333333333,6.2002,0.001
1,0.4,8.2,0.0028
1,0.333333333333333,10,0.0028
1,0.483333333333333,8.0002,0.0208
1,0.516666666666667,6.2002,0.2026
1,0.566666666666667,10,0.0028
1,0.466666666666667,10,0.001
1,0.516666666666667,8.0002,0.001
1,0.566666666666667,10,0.001
1,0.516666666666667,10,0.001
1,0.5,6.0004,0.001
1,0.516666666666667,8.2,0.001
1,0.5,0.6004,0.2224
1,0.516666666666667,6.2002,0.2026
1,0.433333333333333,8.002,0.2008
1,0.466666666666667,10,0.001
1,0.55,8.0002,0.0046
1,0.483333333333333,8.0002,0.2008
1,0.566666666666667,24.0004,0.001
1,0.466666666666667,6.2002,0.0208
1,0.5,8.2,0.001
1,0.5,10,0.001
1,0.516666666666667,6.0004,0.2008
1,0.483333333333333,10,0.001
1,0.383333333333333,6.4,0.001
1,0.483333333333333,6.2002,0.2008
1,0.483333333333333,8.2,0.0028
1,0.5,8.0002,0.2008
1,0.55,6.0004,0.2206
1,0.516666666666667,8.2,0.001
1,0.583333333333333,10,0.001
1,0.583333333333333,10,0.0028
1,0.533333333333333,8.2,0.001
1,0.616666666666667,6.0004,0.4006
1,0.466666666666667,6.2002,0.0046
1,0.516666666666667,10,0.0028
1,0.4,10,0.001
1,0.566666666666667,4.0006,0.0046
1,0.5,4.2004,0.0064
1,0.55,6.2002,0.0046
1,0.516666666666667,10,0.001
1,0.4,6.2002,0.0208
1,0.366666666666667,8.2,0.001
1,0.483333333333333,8.0002,0.0028
1,0.466666666666667,8.0002,0.0028
1,0.533333333333333,6.2002,0.0028
1,0.5,8.2,0.0028
1,0.566666666666667,6.2002,0.2008
1,0.516666666666667,8.0002,0.001
1,0.55,6.0004,0.4006
1,0.483333333333333,8.0002,0.2008
1,0.55,4.2004,0.001
1,0.483333333333333,8.0002,0.0028
1,0.6,10,0.001
1,0.516666666666667,8.0002,0.0028
1,0.533333333333333,6.2002,0.0208
1,0.55,8.0002,0.001
1,0.433333333333333,8.0002,0.2008
1,0.516666666666667,6.0004,0.0208
1,0.45,8.0002,0.001
1,0.55,8.0002,0.0208
1,0.466666666666667,6.2002,0.0046
1,0.616666666666667,8.2,0.001
1,0.433333333333333,6.2002,0.0028
1,0.566666666666667,6.2002,0.0226
1,0.583333333333333,8.0002,0.2008
1,0.6,4.0006,0.2008
1,0.5,6.2002,0.2026
1,0.5,10,0.001
1,0.5,6.2002,0.2008
1,0.383333333333333,8.0002,0.2008
1,0.5,8.0002,0.001
1,0.55,8.0002,0.001
1,0.433333333333333,8.0002,0.2008
1,0.55,8.0002,0.0208
1,0.516666666666667,4.4002,0.0046
1,0.466666666666667,6.0004,0.0208
1,0.6,8.0002,0.0028
1,0.433333333333333,8.0002,0.001
1,0.45,8.0002,0.001
1,0.45,8.2,0.001
1,0.45,6.2002,0.2008
1,0.566666666666667,0.4006,0.2224
1,0.55,10,0.001
1,0.55,6.2002,0.0028
1,0.566666666666667,6.0004,0.2026
1,0.566666666666667,10,0.0028
1,0.466666666666667,10,0.001
1,0.566666666666667,6.2002,0.2026
1,0.5,8.0002,0.001
1,0.566666666666667,6.2002,0.0028
1,0.566666666666667,6.2002,0.2008
1,0.5,8.2,0.001
1,0.5,8.2,0.001
1,0.45,10,0.001
1,0.416666666666667,6.0004,0.0208
1,0.483333333333333,4.0006,0.2008
1,0.516666666666667,8.2,0.0028
1,0.433333333333333,10,0.001
1,0.483333333333333,6.2002,0.0046
1,0.566666666666667,28,0.001
1,0.416666666666667,10,0.001
1,0.5,10,0.001
1,0.533333333333333,8.2,0.0028
1,0.466666666666667,6.4,0.001
1,0.516666666666667,4.0006,0.4024
1,0.533333333333333,4.2004,0.0028
1,0.416666666666667,6.2002,0.2008
1,0.55,6.2002,0.0208
1,0.566666666666667,8.0002,0.001
1,0.583333333333333,10,0.001
1,0.533333333333333,8.0002,0.2008
1,0.483333333333333,8.0002,0.2008
1,0.466666666666667,10,0.001
1,0.45,6.2002,0.0208
1,0.5,8.2,0.001
1,0.516666666666667,4.2004,0.2008
1,0.483333333333333,6.0004,0.2026
1,0.5,8.2,0.001
1,0.516666666666667,10,0.001
1,0.466666666666667,8.0002,0.2026
1,0.45,8.0002,0.0028
1,0.516666666666667,10,0.001
1,0.55,6.4,0.0028
1,0.483333333333333,8.0002,0.2008
1,0.516666666666667,10,0.001
1,0.55,8.2,0.0028
1,0.6,6.0004,0.0406
1,0.583333333333333,6.2002,0.2026
1,0.466666666666667,6.0004,0.001
1,0.633333333333333,6.4,0.0028
1,0.483333333333333,10,0.001
1,0.433333333333333,6.0004,0.4006
1,0.466666666666667,10,0.001
1,0.516666666666667,10,0.001
1,0.366666666666667,8.2,0.0028
1,0.416666666666667,10,0.001
1,0.333333333333333,6.2002,0.0046
1,0.466666666666667,10,0.001
1,0.65,6.0004,0.2026
1,0.566666666666667,8.2,0.001
1,0.4,10,0.001
1,0.6,8.0002,0.2008
1,0.616666666666667,8.2,0.0028
1,0.516666666666667,8.0002,0.2008
1,0.533333333333333,6.0004,0.0226
1,0.55,8.2,0.001
1,0.466666666666667,8.2,0.0046
1,0.483333333333333,8.0002,0.0028
1,0.466666666666667,4.4002,0.0226
1,0.516666666666667,8.0002,0.001
1,0.483333333333333,4.2004,0.0406
1,0.5,8.2,0.001
1,0.616666666666667,10,0.0046
1,0.533333333333333,6.2002,0.0028
1,0.616666666666667,8.0002,0.0028
1,0.516666666666667,10,0.001
1,0.5,10,0.001
1,0.516666666666667,10,0.001
1,0.5,10,0.001
1,0.433333333333333,8.0002,0.001
1,0.55,8.2,0.0028
1,0.533333333333333,8.0002,0.0028
1,0.383333333333333,8.2,0.001
1,0.55,4.0006,0.2044
1,0.55,6.0004,0.2026
1,0.566666666666667,6.4,0.001
1,0.416666666666667,10,0.001
1,0.45,8.0002,0.001
1,0.483333333333333,8.0002,0.2008
1,0.483333333333333,8.2,0.001
1,0.5,8.0002,0.2008
1,0.416666666666667,6.0004,0.2206
1,0.566666666666667,10,0.001
1,0.466666666666667,6.2002,0.2026
1,0.5,6.0004,0.4024
1,0.5,6.2002,0.2008
1,0.433333333333333,10,0.001
1,0.483333333333333,10,0.001
1,0.6,10,0.0028
1,0.45,6.2002,0.2026
1,0.583333333333333,8.2,0.001
1,0.433333333333333,10,0.001
1,0.483333333333333,6.0004,0.2206
1,0.533333333333333,8.2,0.001
1,0.45,2.6002,0.0226
1,0.616666666666667,6.0004,0.0226
1,0.466666666666667,6.2002,0.0208
1,0.433333333333333,10,0.0046
1,0.533333333333333,6.0004,0.001
1,0.516666666666667,6.2002,0.001
1,0.45,6.4,0.001
1,0.366666666666667,6.2002,0.0208
1,0.416666666666667,6.2002,0.0226
1,0.45,4.2004,0.0406
1,0.633333333333333,10,0.001
1,0.383333333333333,8.0002,0.2008
1,0.533333333333333,2.2006,0.0064
1,0.533333333333333,8.2,0.001
1,0.483333333333333,8.0002,0.0208
1,0.566666666666667,6.4,0.0028
1,0.45,10,0.001
1,0.45,6.2002,0.001
1,0.516666666666667,8.0002,0.0226
1,0.45,10,0.001
1,0.5,8.2,0.001
1,0.566666666666667,8.0002,0.0208
1,0.466666666666667,6.0004,0.0208
1,0.4,8.0002,0.0028
1,0.483333333333333,6.0004,0.4042
1,0.5,8.0002,0.0028
1,0.533333333333333,6.2002,0.2008
1,0.5,6.4,0.0046
1,0.483333333333333,10,0.001
1,0.5,8.2,0.001
1,0.566666666666667,10,0.001
1,0.466666666666667,6.0202,0.2008
1,0.533333333333333,6.4,0.001
1,0.466666666666667,6.0004,0.0028
1,0.583333333333333,6.2002,0.0208
1,0.633333333333333,8.2,0.0028
1,0.45,8.2,0.001
1,0.516666666666667,8.0002,0.2008
1,0.416666666666667,8.0002,0.0046
1,0.516666666666667,10,0.001
1,0.483333333333333,8.0002,0.0028
1,0.466666666666667,4.2004,0.0064
1,0.45,8.2,0.001
1,0.55,8.2,0.001
1,0.45,6.2002,0.2008
1,0.483333333333333,6.4,0.0226
1,0.533333333333333,6.0004,0.2008
1,0.566666666666667,6.2002,0.001
1,0.533333333333333,10,0.001
1,0.5,6.2002,0.001
1,0.616666666666667,10,0.001
1,0.566666666666667,10,0.001
1,0.466666666666667,6.2002,0.001
1,0.45,4.2004,0.2044
1,0.466666666666667,8.0002,0.0028
1,0.533333333333333,4.0006,0.6004
1,0.433333333333333,10,0.001
1,0.483333333333333,10,0.001
1,0.533333333333333,6.0004,0.2008
1,0.483333333333333,6.0202,0.2206
1,0.466666666666667,4.2004,0.001
1,0.516666666666667,4.0006,0.2008
1,0.45,8.2,0.0028
1,0.416666666666667,8.0002,0.001
1,0.533333333333333,8.0002,0.2008
1,0.583333333333333,8.0002,0.001
1,0.433333333333333,6.2002,0.0208
1,0.466666666666667,4.2004,0.0208
1,0.5,8.0002,0.0208
1,0.466666666666667,10,0.0028
1,0.566666666666667,6.2002,0.0028
1,0.5,8.0002,0.2008
1,0.55,8.0002,0.001
1,0.533333333333333,10,0.001
1,0.483333333333333,8.0002,0.0208
1,0.45,10,0.001
1,0.516666666666667,4.0006,0.2404
1,0.483333333333333,10,0.001
1,0.516666666666667,6.2002,0.0028
1,0.45,8.2,0.0028
1,0.483333333333333,8.0002,0.2008
1,0.466666666666667,10,0.001
1,0.45,8.0002,0.001
1,0.533333333333333,8.0002,0.0208
1,0.466666666666667,6.4,0.0028
1,0.416666666666667,10,0.0028
1,0.5,8.0002,0.2026
1,0.433333333333333,8.2,0.0028
1,0.45,6.2002,0.001
1,0.466666666666667,4.2004,0.2026
1,0.516666666666667,2.2006,0.0244
1,0.516666666666667,8.2,0.001
1,0.45,6.0004,0.2008
1,0.5,6.2002,0.001
1,0.55,2.0008,0.2224
1,0.533333333333333,8.0002,0.2008
1,0.5,8.0002,0.0208
1,0.5,8.0002,0.2008
1,0.516666666666667,6.2002,0.0028
1,0.516666666666667,4.2004,0.0046
1,0.433333333333333,10,0.001
1,0.516666666666667,8.2,0.001
1,0.466666666666667,8.0002,0.2008
1,0.583333333333333,6.0004,0.0046
1,0.383333333333333,4.2004,0.0028
1,0.533333333333333,8.0002,0.0028
1,0.483333333333333,8.02,0.0208
1,0.45,8.0002,0.001
1,0.45,8.0002,0.0064
1,0.5,6.0004,0.0028
1,0.466666666666667,4.0006,0.4024
1,0.483333333333333,4.2004,0.4006
1,0.516666666666667,8.0002,0.2008
1,0.583333333333333,6.2002,0.0028
1,0.466666666666667,8.0002,0.001
1,0.566666666666667,8.0002,0.2008
1,0.483333333333333,26.0002,0.0208
1,0.433333333333333,8.0002,0.0208
1,0.533333333333333,4.2004,0.2026
1,0.516666666666667,10,0.001
1,0.433333333333333,8.0002,0.2026
1,0.5,10,0.001
1,0.4,6.2002,0.0028
1,0.416666666666667,10,0.0028
1,0.5,6.0004,0.0028
